review,sentiment
The STB is the worst bank I have ever known. Their customer service is non-existent.,negative
I have had many problems with STB's online transactions. This has caused me a lot of stress and wasted time.,negative
STB has extremely high and opaque fees. I have been charged for things I didn't even understand.,negative
"I tried to open an account with STB, but the process was extremely slow and complicated.",negative
The wait times to speak to an STB representative are absolutely unbearable. I have been on hold for over an hour multiple times.,negative
STB denied me a loan without any clear explanation. It was a very frustrating experience.,negative
STB's interest rates are among the highest in the market. I would not recommend this bank to anyone looking for an advantageous loan.,negative
STB account security is a real issue. I have been a victim of fraud and it was very difficult to recover my money.,negative
"I tried to get help to resolve an issue with my account, but STB's customer service was not helpful at all.",negative
STB has policies that are incredibly restrictive. I have had trouble accessing my own money on several occasions.,negative
STB account statements are difficult to understand and read. There are hidden fees everywhere.,negative
STB was not able to answer my questions about the different financial products it offers.,negative
I was a victim of discrimination by STB. I do not recommend this bank to anyone who cares about equality.,negative
STB was not able to provide me with accurate information about the services it offers. This left me puzzled and uncertain about using this bank.,negative
STB is very slow in processing transactions and transfers. This has caused me problems with my bills and expenses.,negative
I had trouble accessing my online account with STB. The site is slow and unfriendly.,negative
STB has a bad reputation in Tunisia and for good reason: their service is very poor.,negative
"I tried to cancel a transfer with STB, but the process was very difficult and I ultimately had to give up.",negative
They are the worst bank I have ever dealt with.,negative
The bank is terrible.,negative
They are the worst bank I have ever heard of.,negative
I have never seen a bank like the STB.,negative
I have never seen a bank that didn't have poor customer service.,negative
They are the worst bank I have ever seen.,negative
I've never heard of a bank that didn't have poor customer service.,negative
They are the worst bank I've ever heard of.,negative
I've never seen a bank like the STB.,negative
I have never seen a bank that didn't provide poor customer service.,negative
I have had a lot of problems with online transactions.,negative
I've had a lot of problems with online transactions.,negative
I have had a lot of issues with online transactions.,negative
A lot of stress and wasted time has been caused by the problems I have had with online transactions.,negative
I have had many problems with online transactions.,negative
There have been many problems with online transactions.,negative
I have had a lot of problems with online transactions from STB.,negative
A lot of stress and wasted time has been caused by the problems with online transactions.,negative
I have had a lot of problems with the online transactions.,negative
A lot of stress and wasted time has been caused by the problems I've had with online transactions.,negative
I have been charged for things I didn't know.,negative
I have been charged for things I didn't understand.,negative
I have been charged for things I did not know.,negative
I've been charged for things I didn't know.,negative
I have been charged for things I didn't know about.,negative
I have been charged for things I don't understand.,negative
I have been charged for things that I didn't know.,negative
I've been charged for things I didn't understand.,negative
I have been charged for things that I didn't understand.,negative
I have been charged for things that I didn't know about.,negative
"I tried to open an account with the company, but it took me a long time.",negative
"I tried to open an account with the company, but it was very difficult.",negative
"I tried to open an account with the company, but the process was very complex.",negative
"I tried to open an account with the company, but it was very difficult to do.",negative
"I tried to open an account with them, but the process was very complex.",negative
"I tried to open an account with them, but it was very difficult.",negative
"I tried to open an account with the company, but it was very hard to do.",negative
"I tried to open an account with the company, but the process was very complicated.",negative
"I tried to open an account with the company, but it was very complex and slow.",negative
"I tried to open an account with the company, but the process was very complex and slow.",negative
I have been on hold for over an hour multiple times.,negative
I have been on hold for over an hour.,negative
I have been on hold for over an hour many times.,negative
I've been on hold for over an hour multiple times.,negative
I have been on hold for more than an hour multiple times.,negative
I've been on hold for over an hour many times.,negative
"I have been on hold for over an hour multiple times, and the wait times are unbearable.",negative
I have been on hold for more than an hour.,negative
I've been on hold for over an hour.,negative
I have been on hold for over an hour multiple times and the wait times are unbearable.,negative
I was denied a loan by the STB.,negative
It was very frustrating that I was denied a loan.,negative
The loan was denied without a clear explanation.,negative
The loan was denied without any explanation.,negative
The loan was denied without explanation.,negative
It was a very frustrating experience when I was denied a loan.,negative
I was denied a loan by STB.,negative
I was denied a loan by the STB without a clear explanation.,negative
I was denied a loan by the STB without any explanation.,negative
I was denied a loan by the STB without any clear explanation.,negative
The bank has the highest interest rates in the market.,negative
I wouldn't recommend this bank to anyone looking for a loan with high interest rates.,negative
The bank's interest rates are among the highest in the market.,negative
I wouldn't recommend this bank to anyone looking for a loan with low interest rates.,negative
I wouldn't recommend this bank to anyone looking for a loan with a high interest rate.,negative
I don't recommend this bank to anyone looking for a loan with high interest rates.,negative
"The bank's interest rates are high, and I wouldn't recommend them to anyone looking for a loan.",negative
I wouldn't recommend this bank to anyone looking for a loan with a low interest rate.,negative
"The bank's interest rates are high, and I wouldn't recommend it to anyone looking for a loan.",negative
I wouldn't recommend this bank to anyone looking for a good loan.,negative
I have been a victim of fraud and it was very difficult to recover my money.,negative
I have been a victim of fraud and it was difficult to recover my money.,negative
I have been a victim of fraud and it was difficult to get my money back.,negative
I have been a victim of fraud and it was very difficult to get my money back.,negative
I have been a victim of fraud and it was very hard to recover my money.,negative
I have been a victim of fraud and it was hard to recover my money.,negative
It was difficult to recover my money when I was a victim of fraud.,negative
"I have been a victim of fraud, and it was very difficult to recover my money.",negative
"I have been a victim of fraud, and it was difficult to recover my money.",negative
I have been a victim of fraud and it was very difficult to get my money.,negative
STB's customer service was not helpful when I tried to resolve an issue with my account.,negative
"I tried to get assistance with my account, but it was not helpful.",negative
"I tried to get help to resolve an issue with my account, but the customer service was not helpful at all.",negative
"I tried to get help with my account, but the customer service was not helpful.",negative
"I tried to get help with my account, but it was not helpful.",negative
"I tried to get help to resolve an issue with my account, but the customer service was not helpful.",negative
"I tried to get help to resolve an issue with my account, but it was not helpful.",negative
"I tried to resolve an issue with my account, but the customer service was not helpful.",negative
"I tried to get help to resolve an issue with my account, but it wasn't helpful.",negative
"I tried to get assistance with my account, but the customer service was not helpful.",negative
I have been unable to access my own money on several occasions.,negative
I have been unable to access my own money several times.,negative
I have been unable to access my own money on a number of occasions.,negative
I have been unable to access my own money a number of times.,negative
I have been unable to access my money on several occasions.,negative
I have been unable to access my own money on many occasions.,negative
There are policies that are very restrictive.,negative
I have had difficulty with my own money on several occasions.,negative
I've had trouble with my own money on several occasions.,negative
I have had difficulty accessing my own money several times.,negative
The account statements are hard to read.,negative
There are a lot of hidden fees in the account statements.,negative
There are many hidden fees in the account statements.,negative
The account statements are hard to read and understand.,negative
The account statements are difficult to read.,negative
The account statements are hard to understand.,negative
There are a lot of hidden fees in account statements.,negative
The statements are hard to read.,negative
The accounts statements are hard to read.,negative
The account statements are hard to read and comprehend.,negative
The financial products it offers were not able to answer my questions.,negative
I was not able to get an answer to my questions.,negative
I was not able to get an answer to my questions about the financial products it offers.,negative
I was unable to get an answer to my questions about the financial products it offers.,negative
I was not able to get an answer to my questions from the company.,negative
I was not able to get an answer about the financial products it offers.,negative
I was not able to get an answer to my questions about the financial products that it offers.,negative
I was not able to get an answer to my questions about the financial products they offer.,negative
I was not able to get an answer to my questions about the different financial products.,negative
I was not able to get an answer to my questions about financial products.,negative
I don't recommend this bank to anyone who cares about equality.,negative
I don't recommend this bank to people who care about equality.,negative
I did not recommend this bank to anyone who cares about equality.,negative
I do not recommend this bank to anyone who cares about equality.,negative
I did not recommend this bank to anyone who cared about equality.,negative
I do not recommend this bank to people who care about equality.,negative
I don't recommend this bank to anyone that cares about equality.,negative
I don't recommend this bank to anyone who cares about equality because I was a victim of discrimination.,negative
I don't recommend the bank to anyone who cares about equality.,negative
"I don't recommend this bank to anyone who cares about equality, because I was a victim of discrimination.",negative
I wasn't sure about using this bank because it wasn't possible to get accurate information about the services it offers.,negative
I was unsure about using this bank because it wasn't possible to get accurate information about the services it offers.,negative
I wasn't sure about using this bank because it wasn't possible to get accurate information about the services they offer.,negative
I was unsure about using this bank because it wasn't possible to provide accurate information about the services it offers.,negative
I wasn't sure about using this bank because it wasn't possible to get accurate information about its services.,negative
