review,sentiment
one of the weakest banks in the republic of tunisia in all respects,negative
substandard service quality,negative
i will close my account these days,negative
why don't you answer the messages,negative
voicemail is not working,negative
i don't understand why my account decreases every time i find money,negative
substandard phone app,negative
the most despicable bank in tunisia lied,negative
disrespectful customers,negative
The republic of tunisia has one of the weakest banks.,negative
One of the weakest banks in the republic of tunisia.,negative
One of the weakest banks is in the republic of tunisia.,negative
One of the weakest banks in the country.,negative
The republic of tunisia has one of the weakest banks in the country.,negative
It is one of the weakest banks in the republic.,negative
The republic of tunisia has one of the weakest banks in the world.,negative
It is one of the weakest banks in the republic of tunisia.,negative
One of the weakest banks in the republic of tuisia.,negative
One of the weakest banks is in the republic of tuisia.,negative
substandard service quality,negative
substandard service quality.,negative
substandard service,negative
The service quality was substandard.,negative
Poor service quality.,negative
substandard service.,negative
The service quality was not up to par.,negative
Service quality is substandard.,negative
The service quality is substandard.,negative
The quality of the service was not up to par.,negative
I will close my account soon.,negative
I will close my account in the future.,negative
I will close my account in the near future.,negative
I will close my account.,negative
I'll close my account soon.,negative
"These days, I will close my account.",negative
I will be closing my account soon.,negative
I will close the account soon.,negative
I'll close my account in the near future.,negative
I will close my account eventually.,negative
Why don't you reply?,negative
Why don't you answer the phone?,negative
Why don't you respond to the messages?,negative
Why don't you respond?,negative
Why don't you answer the messages?,negative
Why don't you reply the messages?,negative
Why don't you answer the calls?,negative
Shouldn't you answer the messages?,negative
Why aren't you answering the messages?,negative
Why don't you reply to the messages?,negative
It's not working.,negative
voicemail isn't working,negative
The voicemail is not working.,negative
It is not working.,negative
voicemail is not working,negative
It isn't working.,negative
There is a problem with voicemail.,negative
The phone is not working.,negative
The voicemail is malfunctioning.,negative
voicemail is not working.,negative
I don't understand why my account goes down when I find money.,negative
I don't understand why my account decreases when I find money.,negative
I don't understand why my account shrinks when I find money.,negative
I don't know why my account goes down when I find money.,negative
I don't understand why my account gets smaller when I find money.,negative
I don't know why my account decreases when I find money.,negative
"Every time I find money, my account decreases.",negative
I don't understand why my account goes down when I find cash.,negative
I don't understand why my account changes when I find money.,negative
I don't understand why my account goes down when I find money,negative
The phone app is substandard.,negative
substandard phone app.,negative
substandard phone app,negative
The phone app is not good.,negative
The phone app was substandard.,negative
A substandard phone app.,negative
The app is substandard.,negative
The phone app is poor.,negative
The phone app is subpar.,negative
The phone app is not up to standard.,negative
The most despicable bank in the country lied.,negative
The most despicable bank in the country.,negative
The most despicable bank is in tunisia.,negative
The most despicable bank in the area lied.,negative
The bank in tunisia is despicable.,negative
The most despicable bank in the country lied to it's customers.,negative
The most despicable bank in the area.,negative
The most despicable bank in the state.,negative
The most despicable bank in the country lied about it.,negative
The most despicable bank in the country lied to it's clients.,negative
Customers are disrespectful.,negative
People are disrespectful to customers.,negative
The customers were disrespectful.,negative
disrespectful customers,negative
The customers are disrespectful.,negative
They were disrespectful to the customers.,negative
Customers are disrespectful,negative
People are disrespectful to the customers.,negative
People are disrespectful to other people.,negative
Customers are not respectful.,negative
